"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"10041","SLC9A5","SLC9A5",0.376251984254692,1.57901385796631,2.59106282616934,0.245852914066961,0.826907623289983,0.609324639699624
"11607","TSPAN31","TSPAN31",0.137369348694193,4.59352472709793,1.36582512658947,0.245761374191801,0.826907623289983,0.60948637325402
"10991","THAP11","THAP11",0.0781939417117657,5.7841392914353,1.36694602773671,0.24556922888635,0.826828343198188,0.609826053500323
"10578","STARD9","STARD9",0.201608842259415,2.59789133991582,1.42244272518746,0.245355173342285,0.826322083013879,0.610204780437006
"11492","TRIM11","TRIM11",0.0876748330139702,5.0383749787486,1.37022458797149,0.245008283153246,0.825817720963461,0.610819232913271
"8427","PRKCE","PRKCE",0.178519675563837,2.84117369857817,1.70231990264711,0.244982186933049,0.825817720963461,0.610865492769871
"6453","MFNG","MFNG",0.0812526393395343,7.87194035088898,1.37090179615423,0.24489261377013,0.825817720963461,0.611024313475733
"1329","C6orf120","C6orf120",0.0714961633361635,5.34473624776727,1.37240291024704,0.244636459287742,0.825648373392872,0.611478817587916
"12172","WDR97","KIAA1875",0.307754632777094,1.80487480286136,2.41722296334148,0.244451596034799,0.825421799937389,0.611807122863867
"9593","SEC63","SEC63",0.084926266957979,6.58777376716518,1.37454565303642,0.244271389272074,0.825242899225683,0.612127397573888
"9208","RPL10A","RPL10A",0.0750951871485686,10.2147025459125,1.3745685884233,0.244267485298676,0.825242899225683,0.612134338573644
"9380","RTCA","RTCD1",0.0825714623163389,5.70880084051199,1.37509674622018,0.244177605647788,0.825242899225683,0.612294169177246
"11749","U2SURP","U2SURP",0.0797095441500372,7.67841179007881,1.37568079867297,0.244078261684795,0.825242899225683,0.612470898381831
"2201","COPS7B","COPS7B",0.117834492682107,5.06016426466457,1.37652753034796,0.243934326209046,0.825242899225683,0.612727081874762
"9552","SDF2L1","SDF2L1",0.1004813985394,4.84956005074293,1.37742761919165,0.243781435603194,0.825242899225683,0.612999369767959
"8551","PSMD6","PSMD6",0.0768010876973903,7.14789950154236,1.37765997665418,0.243741986209099,0.825242899225683,0.613069654203294
"11955","USP42","USP42",0.146447426194883,5.45443079270676,1.3791839135565,0.243483449333636,0.825242899225683,0.613530554397453
"5507","LOC100128126","LOC100128126",0.308144948777412,1.82973596367711,4.10735645143066,0.243429605604117,0.825242899225683,0.61362660454223
"2045","CLEC12A","CLEC12A",0.454775004928159,1.383796185426,1.76797599441092,0.243219534092901,0.825127357684937,0.614001547787173
"6953","NAA40","NAA40",0.113246961387854,4.03200320890916,1.38664964268526,0.243173327714263,0.825127357684937,0.614084062054577
"5391","LGALS8","LGALS8",0.0754192202480861,6.71072450575945,1.38135939165956,0.243114964887335,0.825127357684937,0.614188307434079
"1758","CDK10","CDK10",0.10928244848385,5.46421502985492,1.38349758287714,0.242753467115868,0.824624438045078,0.614834558583556
"2568","DDTL","DDTL",0.241154970269249,2.28017489335991,2.37841069315489,0.242058278425657,0.823423167870508,0.616080059839446
"256","AFTPH","AFTPH",0.0739668826631182,6.45915907562614,1.38837735523111,0.241930940615195,0.823423167870508,0.616308586044252
"9868","SLC22A5","SLC22A5",0.147201039977423,3.27769575998583,1.64311121931158,0.241799473379855,0.823423167870508,0.616544649333278
"11728","TXNDC16","TXNDC16",0.124933216847514,3.98087198993744,1.39135547877263,0.241430642702572,0.822932140772586,0.617207609499358
"8889","RBM33","RBM33",0.0892426277855935,6.30371790758479,1.39154231452087,0.241399298544918,0.822932140772586,0.617263996204344
"11713","TWF1","TWF1",0.101278585957061,6.32539382959939,1.39232793468062,0.241267555322811,0.822932140772586,0.617501076316027
"2977","ECPAS","KIAA0368",0.0739580369515597,5.69803596056213,1.39262509156165,0.241217747223647,0.822932140772586,0.61759074280984
