"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"7824","PER1","PER1",-0.564191636864709,6.37657051986851,20.4559945363168,1.94167283565787e-05,0.00231094694467794,-4.7118239451995
"12874","ZNF791","ZNF791",-0.29763918000507,5.97830025592487,20.4068540169893,1.98234120536253e-05,0.00233790113246982,-4.70282159160021
"1589","CCL20","CCL20",-0.758673197286134,1.99317193331802,20.34097942298,2.03823497028447e-05,0.00238216416842347,-4.69074575143081
"9489","SC5D","SC5DL",-0.405991505757807,6.0867419606196,20.2353522983856,2.13125889445674e-05,0.00246864478908815,-4.67136379120341
"7987","PIK3R1","PIK3R1",-0.302139569766242,9.13583793803004,20.0659002028049,2.2896990452365e-05,0.0025615007967177,-4.64022159695375
"9346","RRM2","RRM2",-0.527439296613208,2.98988666298964,20.0641292045095,2.29141735522713e-05,0.0025615007967177,-4.63989580187809
"10392","SPATA2L","SPATA2L",-0.407671500627844,2.9883414311833,20.0172122238586,2.33742404095708e-05,0.0025615007967177,-4.63126249345189
"7347","NR4A2","NR4A2",-0.824445366442461,7.44200632622736,20.0063233723628,2.34823660126636e-05,0.0025615007967177,-4.62925814701233
"10512","SRSF7","SRSF7",-0.195769419081656,8.46643139378179,20.0049154145943,2.34963843990909e-05,0.0025615007967177,-4.6289989614019
"1158","BTG2","BTG2",-0.273140389639414,8.51396946228954,19.9479708007468,2.4070618960577e-05,0.00258072842789724,-4.61851274197645
"10031","SLC7A5","SLC7A5",-0.541798405793472,4.56875332165916,19.8663303840141,2.49191425132969e-05,0.00262984045078607,-4.60346690616017
"2022","CKAP4","CKAP4",-0.334493476713524,4.9119304365157,19.54641500804,2.85514316390395e-05,0.00296318178122608,-4.54437211027815
"9138","RNF19A","RNF19A",-0.238073331012871,7.85488930759334,19.3591337903908,3.09260181627683e-05,0.00318415264782217,-4.50967599339026
"10388","SPATA2","SPATA2",-0.376334905634759,3.64487824563246,19.3401120165433,3.11782863567774e-05,0.00318484967642892,-4.50614775849443
"2180","COMMD5","COMMD5",-0.243896238928184,4.56071538625636,19.2057566047402,3.30213844702064e-05,0.00331189795743233,-4.48120472225535
"6812","MTFP1","MTFP1",-0.310630184090922,6.43899052264656,19.1224303009787,3.42203482084691e-05,0.00336318619173083,-4.46571557561762
"8953","REL","REL",-0.296796689575397,6.31500477154163,19.098636995932,3.45708471744973e-05,0.00337208722101318,-4.46128997774133
"6796","MTA1","MTA1",-0.379237896586022,3.40338060802766,19.0559347590429,3.52091715307678e-05,0.00338347097976778,-4.453344193727
"9017","RGS2","RGS2",-0.380243866767657,6.6403218317218,18.6790537891697,4.13958397573966e-05,0.00389551583636589,-4.38304330286925
"10465","SPTY2D1","SPTY2D1",-0.247721927920133,5.47121980164029,18.6766630767564,4.14384633792101e-05,0.00389551583636589,-4.38259635746897
"8891","RBM38","RBM38",-0.384027529535349,6.72610331455966,18.547577144519,4.38081733647229e-05,0.00403403422111094,-4.35844485488299
"998","BCL2L11","BCL2L11",-0.260730985449798,5.35660528395556,18.5296574081198,4.41479746695564e-05,0.00403403422111094,-4.35508921530298
"6380","MED14","MED14",-0.235418356693175,4.37182004928091,18.5129758930956,4.44667304107657e-05,0.00403403422111094,-4.35196480256738
"12368","ZDHHC12","ZDHHC12",-0.1672890375491,5.1476793547136,18.2231736766244,5.03980482050309e-05,0.00450906123699218,-4.29758628240762
"1609","CCNH","CCNH",-0.257048125149583,6.5710607688894,18.1157623588475,5.27978558699694e-05,0.00466102503167933,-4.27738371388187
"4544","HMGCS1","HMGCS1",-0.273906888350752,4.95119534125813,18.115007525085,5.28151298586959e-05,0.00466102503167933,-4.27724164805541
"4700","IDI1","IDI1",-0.378561376141854,7.09073202451515,17.9494629226242,5.67474521575486e-05,0.0049408368915428,-4.24605363261514
"3420","FAM177A1","FAM177A1",-0.252537774595948,5.06362026042564,17.8131625885067,6.02104194657632e-05,0.00512301151291825,-4.22032834719857
"11689","TUBB2A","TUBB2A",-0.476912909433724,2.80239500379761,17.8051972294478,6.0419391156748e-05,0.00512301151291825,-4.21882365540496
"12293","ZBTB10","ZBTB10",-0.374131359005086,4.23615301718332,17.7003183048215,6.32414765234952e-05,0.00532747840869678,-4.19899799897828
"721","ARRDC3","ARRDC3",-0.459537661819789,8.26330249585459,17.6046392117421,6.59341828886161e-05,0.00551847841686462,-4.18088937158194
"4385","HBEGF","HBEGF",-0.688321895707797,1.89584653141026,17.5242557559421,6.8287413597607e-05,0.00567879882437023,-4.16565933597919
"4154","GPR35","GPR35",-0.552576031064062,1.99469302936893,17.4210668112408,7.14354078018441e-05,0.00590274869690015,-4.1460864716786
"2502","DAZAP1","DAZAP1",-0.228704028443994,4.80568317344138,17.3507268086223,7.36664588410612e-05,0.00603992812963689,-4.1327302062514
"9667","SESN2","SESN2",-0.436956403555579,3.49759489446383,17.339574460822,7.40267149165393e-05,0.00603992812963689,-4.13061152287601
